iter 228400:, hard_loss_metric=0.00011667, full_loss_metric=0.00504863, full_loss_num=1.37888670, mean_dist=5.74224377, lr=0.000100, hard or full='full'
iter 228600:, hard_loss_metric=0.00000833, full_loss_metric=0.00061581, full_loss_num=0.02802734, mean_dist=5.76884031, lr=0.000100, hard or full='full'
iter 228800:, hard_loss_metric=0.00000900, full_loss_metric=0.00050830, full_loss_num=0.10205078, mean_dist=5.75375128, lr=0.000100, hard or full='full'
iter 229000:, hard_loss_metric=0.00001147, full_loss_metric=0.00070589, full_loss_num=0.06179687, mean_dist=5.75194693, lr=0.000100, hard or full='full'
iter 229200:, hard_loss_metric=0.00001037, full_loss_metric=0.00069002, full_loss_num=0.03253906, mean_dist=5.75771141, lr=0.000100, hard or full='full'
iter 229400:, hard_loss_metric=0.00000494, full_loss_metric=0.00034772, full_loss_num=0.02146484, mean_dist=5.72587395, lr=0.000100, hard or full='full'
iter 229600:, hard_loss_metric=0.00010020, full_loss_metric=0.00514527, full_loss_num=0.95257813, mean_dist=5.73717165, lr=0.000100, hard or full='full'
iter 229800:, hard_loss_metric=0.00001946, full_loss_metric=0.00103817, full_loss_num=0.16007812, mean_dist=5.77829170, lr=0.000100, hard or full='full'
iter 230000:, hard_loss_metric=0.00025127, full_loss_metric=0.00331425, full_loss_num=1.78833985, mean_dist=5.75378799, lr=0.000100, hard or full='full'
iter 230200:, hard_loss_metric=0.00001629, full_loss_metric=0.00098789, full_loss_num=0.07638672, mean_dist=5.75261497, lr=0.000100, hard or full='full'
iter 230400:, hard_loss_metric=0.00001047, full_loss_metric=0.00075625, full_loss_num=0.02767578, mean_dist=5.74232054, lr=0.000100, hard or full='full'
iter 230600:, hard_loss_metric=0.00000175, full_loss_metric=0.00014413, full_loss_num=0.00412109, mean_dist=5.76969337, lr=0.000100, hard or full='full'
iter 230800:, hard_loss_metric=0.00000111, full_loss_metric=0.00009128, full_loss_num=0.00363281, mean_dist=5.75826645, lr=0.000100, hard or full='full'
iter 231000:, hard_loss_metric=0.00000098, full_loss_metric=0.00007019, full_loss_num=0.00324219, mean_dist=5.74313402, lr=0.000100, hard or full='full'
iter 231200:, hard_loss_metric=0.00003103, full_loss_metric=0.00166128, full_loss_num=0.19291015, mean_dist=5.77692986, lr=0.000100, hard or full='full'
iter 231400:, hard_loss_metric=0.00003069, full_loss_metric=0.00158982, full_loss_num=0.16568360, mean_dist=5.75324583, lr=0.000100, hard or full='full'
iter 231600:, hard_loss_metric=0.00009531, full_loss_metric=0.00373700, full_loss_num=0.73048830, mean_dist=5.76675892, lr=0.000100, hard or full='full'
iter 231800:, hard_loss_metric=0.00069678, full_loss_metric=0.00844076, full_loss_num=4.98369122, mean_dist=5.73950911, lr=0.000100, hard or full='full'
0:26:56.548003
iter 232000:, hard_loss_metric=0.00000898, full_loss_metric=0.00062079, full_loss_num=0.02556641, mean_dist=5.72498894, lr=0.000100, hard or full='full'
iter 232200:, hard_loss_metric=0.00001111, full_loss_metric=0.00066038, full_loss_num=0.05914063, mean_dist=5.79295969, lr=0.000100, hard or full='full'
iter 232400:, hard_loss_metric=0.00000406, full_loss_metric=0.00028354, full_loss_num=0.01650391, mean_dist=5.76279640, lr=0.000100, hard or full='full'
iter 232600:, hard_loss_metric=0.00000147, full_loss_metric=0.00010226, full_loss_num=0.00787109, mean_dist=5.77698135, lr=0.000100, hard or full='full'
iter 232800:, hard_loss_metric=0.00000172, full_loss_metric=0.00012200, full_loss_num=0.00482422, mean_dist=5.77438784, lr=0.000100, hard or full='full'
iter 233000:, hard_loss_metric=0.00000103, full_loss_metric=0.00007637, full_loss_num=0.00287109, mean_dist=5.78559160, lr=0.000100, hard or full='full'
iter 233200:, hard_loss_metric=0.00000082, full_loss_metric=0.00007721, full_loss_num=0.00189453, mean_dist=5.77378559, lr=0.000100, hard or full='full'
iter 233400:, hard_loss_metric=0.00000045, full_loss_metric=0.00004619, full_loss_num=0.00093750, mean_dist=5.76769543, lr=0.000100, hard or full='full'
iter 233600:, hard_loss_metric=0.00000101, full_loss_metric=0.00007893, full_loss_num=0.00320312, mean_dist=5.78558493, lr=0.000100, hard or full='full'
iter 233800:, hard_loss_metric=0.00000229, full_loss_metric=0.00016053, full_loss_num=0.00980469, mean_dist=5.74957275, lr=0.000100, hard or full='full'
iter 234000:, hard_loss_metric=0.00003376, full_loss_metric=0.00174168, full_loss_num=0.31177735, mean_dist=5.72413588, lr=0.000100, hard or full='full'
iter 234200:, hard_loss_metric=0.00001686, full_loss_metric=0.00115880, full_loss_num=0.06664062, mean_dist=5.74654293, lr=0.000100, hard or full='full'
iter 234400:, hard_loss_metric=0.00054623, full_loss_metric=0.01240268, full_loss_num=3.46544933, mean_dist=5.72778749, lr=0.000100, hard or full='full'
iter 234600:, hard_loss_metric=0.00007167, full_loss_metric=0.00364156, full_loss_num=0.49074218, mean_dist=5.74068594, lr=0.000100, hard or full='full'
iter 234800:, hard_loss_metric=0.00006043, full_loss_metric=0.00325543, full_loss_num=0.25142577, mean_dist=5.72857380, lr=0.000100, hard or full='full'
iter 235000:, hard_loss_metric=0.00002724, full_loss_metric=0.00168410, full_loss_num=0.15435547, mean_dist=5.72863388, lr=0.000100, hard or full='full'
iter 235200:, hard_loss_metric=0.00000925, full_loss_metric=0.00054315, full_loss_num=0.02964844, mean_dist=5.79765034, lr=0.000100, hard or full='full'
iter 235400:, hard_loss_metric=0.00010300, full_loss_metric=0.00489473, full_loss_num=0.77832031, mean_dist=5.75411129, lr=0.000100, hard or full='full'
iter 235600:, hard_loss_metric=0.00069484, full_loss_metric=0.00759706, full_loss_num=5.08251953, mean_dist=5.71895742, lr=0.000100, hard or full='full'
iter 235800:, hard_loss_metric=0.00002645, full_loss_metric=0.00158146, full_loss_num=0.10669922, mean_dist=5.73722029, lr=0.000100, hard or full='full'
0:26:18.940004
iter 236000:, hard_loss_metric=0.00026864, full_loss_metric=0.00814603, full_loss_num=1.78064454, mean_dist=5.67425251, lr=0.000100, hard or full='full'
iter 236200:, hard_loss_metric=0.00001662, full_loss_metric=0.00109020, full_loss_num=0.09675781, mean_dist=5.73030996, lr=0.000100, hard or full='full'
iter 236400:, hard_loss_metric=0.00065538, full_loss_metric=0.01408181, full_loss_num=4.89644527, mean_dist=5.72623539, lr=0.000100, hard or full='full'
iter 236600:, hard_loss_metric=0.00083855, full_loss_metric=0.02104857, full_loss_num=5.10714865, mean_dist=5.72065687, lr=0.000100, hard or full='full'
iter 236800:, hard_loss_metric=0.00045487, full_loss_metric=0.01460887, full_loss_num=4.50488281, mean_dist=5.68372679, lr=0.000100, hard or full='full'
iter 237000:, hard_loss_metric=0.00005825, full_loss_metric=0.00235925, full_loss_num=0.26517579, mean_dist=5.74261475, lr=0.000100, hard or full='full'
iter 237200:, hard_loss_metric=0.00000719, full_loss_metric=0.00056592, full_loss_num=0.02013672, mean_dist=5.73189926, lr=0.000100, hard or full='full'
iter 237400:, hard_loss_metric=0.00000438, full_loss_metric=0.00030663, full_loss_num=0.01996094, mean_dist=5.74935198, lr=0.000100, hard or full='full'
iter 237600:, hard_loss_metric=0.00000994, full_loss_metric=0.00061235, full_loss_num=0.04177734, mean_dist=5.77411032, lr=0.000100, hard or full='full'
iter 237800:, hard_loss_metric=0.00000301, full_loss_metric=0.00023757, full_loss_num=0.01164063, mean_dist=5.75316668, lr=0.000100, hard or full='full'
iter 238000:, hard_loss_metric=0.00002066, full_loss_metric=0.00111898, full_loss_num=0.08585937, mean_dist=5.76040030, lr=0.000100, hard or full='full'
