Training START
iter 16200:, hard_loss_metric=0.03141891, full_loss_metric=0.15369673, full_loss_num=224.85942078, mean_dist=4.37671471, lr=0.000100, hard or full='full'
iter 16400:, hard_loss_metric=0.02947489, full_loss_metric=0.15496901, full_loss_num=202.03999329, mean_dist=4.32021952, lr=0.000100, hard or full='full'
iter 16600:, hard_loss_metric=0.03212770, full_loss_metric=0.15513153, full_loss_num=235.02680969, mean_dist=4.37499952, lr=0.000100, hard or full='full'
iter 16800:, hard_loss_metric=0.02829299, full_loss_metric=0.15511169, full_loss_num=190.45208740, mean_dist=4.32004356, lr=0.000100, hard or full='full'
iter 17000:, hard_loss_metric=0.03377288, full_loss_metric=0.15748054, full_loss_num=243.88716125, mean_dist=4.38715553, lr=0.000100, hard or full='full'
iter 17200:, hard_loss_metric=0.03091510, full_loss_metric=0.15169416, full_loss_num=215.57875061, mean_dist=4.37156391, lr=0.000100, hard or full='full'
iter 17400:, hard_loss_metric=0.03219860, full_loss_metric=0.15748343, full_loss_num=225.12469482, mean_dist=4.36447287, lr=0.000100, hard or full='full'
iter 17600:, hard_loss_metric=0.02260954, full_loss_metric=0.14550778, full_loss_num=144.47299194, mean_dist=4.40752602, lr=0.000100, hard or full='full'
iter 17800:, hard_loss_metric=0.02841678, full_loss_metric=0.14249639, full_loss_num=217.23606873, mean_dist=4.39129162, lr=0.000100, hard or full='full'
0:27:14.132876
iter 18000:, hard_loss_metric=0.02782116, full_loss_metric=0.15351914, full_loss_num=180.21643066, mean_dist=4.43773031, lr=0.000100, hard or full='full'
iter 18200:, hard_loss_metric=0.02242803, full_loss_metric=0.14390375, full_loss_num=144.19584656, mean_dist=4.45412493, lr=0.000100, hard or full='full'
iter 18400:, hard_loss_metric=0.03172516, full_loss_metric=0.15627597, full_loss_num=227.31033325, mean_dist=4.44264364, lr=0.000100, hard or full='full'
iter 18600:, hard_loss_metric=0.02257401, full_loss_metric=0.13961358, full_loss_num=141.93420410, mean_dist=4.44682741, lr=0.000100, hard or full='full'
iter 18800:, hard_loss_metric=0.02273335, full_loss_metric=0.14015862, full_loss_num=145.53312683, mean_dist=4.48579597, lr=0.000100, hard or full='full'
iter 19000:, hard_loss_metric=0.02917023, full_loss_metric=0.15475674, full_loss_num=212.37277222, mean_dist=4.47178936, lr=0.000100, hard or full='full'
iter 19200:, hard_loss_metric=0.02256575, full_loss_metric=0.14811590, full_loss_num=129.67164612, mean_dist=4.49106264, lr=0.000100, hard or full='full'
iter 19400:, hard_loss_metric=0.02252168, full_loss_metric=0.13994187, full_loss_num=147.26968384, mean_dist=4.54297781, lr=0.000100, hard or full='full'
iter 19600:, hard_loss_metric=0.01742702, full_loss_metric=0.12677819, full_loss_num=110.21965027, mean_dist=4.58505440, lr=0.000100, hard or full='full'
iter 19800:, hard_loss_metric=0.01774828, full_loss_metric=0.13290821, full_loss_num=107.33023071, mean_dist=4.52127695, lr=0.000100, hard or full='full'
iter 20000:, hard_loss_metric=0.02146770, full_loss_metric=0.13954246, full_loss_num=139.32208252, mean_dist=4.57592106, lr=0.000100, hard or full='full'
iter 20200:, hard_loss_metric=0.01613217, full_loss_metric=0.12345870, full_loss_num=95.19179535, mean_dist=4.60856247, lr=0.000100, hard or full='full'
iter 20400:, hard_loss_metric=0.02301977, full_loss_metric=0.13603424, full_loss_num=171.83279419, mean_dist=4.59123516, lr=0.000100, hard or full='full'
iter 20600:, hard_loss_metric=0.02595087, full_loss_metric=0.14649434, full_loss_num=176.02569580, mean_dist=4.54943037, lr=0.000100, hard or full='full'
iter 20800:, hard_loss_metric=0.01471868, full_loss_metric=0.12282625, full_loss_num=79.65951538, mean_dist=4.60645247, lr=0.000100, hard or full='full'
0:27:12.937394
iter 21000:, hard_loss_metric=0.01555858, full_loss_metric=0.13072765, full_loss_num=94.18041229, mean_dist=4.56598043, lr=0.000100, hard or full='full'
iter 21200:, hard_loss_metric=0.01656976, full_loss_metric=0.13965327, full_loss_num=91.97646332, mean_dist=4.55764294, lr=0.000100, hard or full='full'
iter 21400:, hard_loss_metric=0.01817085, full_loss_metric=0.13032873, full_loss_num=107.27536774, mean_dist=4.63873482, lr=0.000100, hard or full='full'
iter 21600:, hard_loss_metric=0.01801869, full_loss_metric=0.13468717, full_loss_num=110.26736450, mean_dist=4.65647268, lr=0.000100, hard or full='full'
iter 21800:, hard_loss_metric=0.01496920, full_loss_metric=0.12403992, full_loss_num=82.03615570, mean_dist=4.64157534, lr=0.000100, hard or full='full'
iter 22000:, hard_loss_metric=0.01355177, full_loss_metric=0.12347014, full_loss_num=75.72959137, mean_dist=4.66181469, lr=0.000100, hard or full='full'
iter 22200:, hard_loss_metric=0.01676155, full_loss_metric=0.12686250, full_loss_num=100.31767273, mean_dist=4.63897467, lr=0.000100, hard or full='full'
iter 22400:, hard_loss_metric=0.01533421, full_loss_metric=0.13273405, full_loss_num=91.77400208, mean_dist=4.66678143, lr=0.000100, hard or full='full'
iter 22600:, hard_loss_metric=0.01742402, full_loss_metric=0.12478338, full_loss_num=106.38047028, mean_dist=4.69598770, lr=0.000100, hard or full='full'
iter 22800:, hard_loss_metric=0.01435282, full_loss_metric=0.11774294, full_loss_num=92.13892365, mean_dist=4.67880869, lr=0.000100, hard or full='full'
iter 23000:, hard_loss_metric=0.01549080, full_loss_metric=0.12097166, full_loss_num=95.19454956, mean_dist=4.69022655, lr=0.000100, hard or full='full'
iter 23200:, hard_loss_metric=0.01504159, full_loss_metric=0.11882263, full_loss_num=86.54152679, mean_dist=4.69356775, lr=0.000100, hard or full='full'
iter 23400:, hard_loss_metric=0.01343547, full_loss_metric=0.11869489, full_loss_num=77.76990509, mean_dist=4.67975521, lr=0.000100, hard or full='full'
iter 23600:, hard_loss_metric=0.01368732, full_loss_metric=0.12153095, full_loss_num=76.80869293, mean_dist=4.73070574, lr=0.000100, hard or full='full'
iter 23800:, hard_loss_metric=0.01158463, full_loss_metric=0.11096191, full_loss_num=71.51761627, mean_dist=4.75112724, lr=0.000100, hard or full='full'
0:27:12.297960
iter 24000:, hard_loss_metric=0.01000433, full_loss_metric=0.09966435, full_loss_num=55.32109451, mean_dist=4.76153040, lr=0.000100, hard or full='full'
iter 24200:, hard_loss_metric=0.01338309, full_loss_metric=0.11869428, full_loss_num=77.12689209, mean_dist=4.74492645, lr=0.000100, hard or full='full'
iter 24400:, hard_loss_metric=0.01128774, full_loss_metric=0.10680161, full_loss_num=63.52150345, mean_dist=4.76247215, lr=0.000100, hard or full='full'
iter 24600:, hard_loss_metric=0.01185312, full_loss_metric=0.10997173, full_loss_num=71.71607208, mean_dist=4.79504442, lr=0.000100, hard or full='full'
iter 24800:, hard_loss_metric=0.01276424, full_loss_metric=0.13072741, full_loss_num=66.66839600, mean_dist=4.73055935, lr=0.000100, hard or full='full'
iter 25000:, hard_loss_metric=0.00947371, full_loss_metric=0.10356631, full_loss_num=56.23693466, mean_dist=4.83958149, lr=0.000100, hard or full='full'
iter 25200:, hard_loss_metric=0.00903079, full_loss_metric=0.10194883, full_loss_num=52.60355377, mean_dist=4.83743572, lr=0.000100, hard or full='full'
iter 25400:, hard_loss_metric=0.00804571, full_loss_metric=0.10440819, full_loss_num=45.16847610, mean_dist=4.79115868, lr=0.000100, hard or full='full'
iter 25600:, hard_loss_metric=0.01207962, full_loss_metric=0.11383486, full_loss_num=76.44580078, mean_dist=4.80257082, lr=0.000100, hard or full='full'
iter 25800:, hard_loss_metric=0.00767979, full_loss_metric=0.09894940, full_loss_num=37.38916016, mean_dist=4.82295465, lr=0.000100, hard or full='full'
iter 26000:, hard_loss_metric=0.01083026, full_loss_metric=0.11210819, full_loss_num=57.55085754, mean_dist=4.77925301, lr=0.000100, hard or full='full'
iter 26200:, hard_loss_metric=0.00987222, full_loss_metric=0.09716970, full_loss_num=66.05683899, mean_dist=4.80690479, lr=0.000100, hard or full='full'
iter 26400:, hard_loss_metric=0.00927340, full_loss_metric=0.09960685, full_loss_num=48.26911926, mean_dist=4.81846809, lr=0.000100, hard or full='full'
iter 26600:, hard_loss_metric=0.00880055, full_loss_metric=0.09171104, full_loss_num=51.91480637, mean_dist=4.80188560, lr=0.000100, hard or full='full'
iter 26800:, hard_loss_metric=0.01013768, full_loss_metric=0.10327755, full_loss_num=58.45959091, mean_dist=4.84016466, lr=0.000100, hard or full='full'
0:26:13.239454
iter 27000:, hard_loss_metric=0.00818523, full_loss_metric=0.10598002, full_loss_num=41.82478333, mean_dist=4.82151079, lr=0.000100, hard or full='full'
iter 27200:, hard_loss_metric=0.00967766, full_loss_metric=0.09761419, full_loss_num=56.33337784, mean_dist=4.85629225, lr=0.000100, hard or full='full'
iter 27400:, hard_loss_metric=0.00792462, full_loss_metric=0.09464493, full_loss_num=47.03400421, mean_dist=4.87058449, lr=0.000100, hard or full='full'
iter 27600:, hard_loss_metric=0.00602633, full_loss_metric=0.08377205, full_loss_num=31.08644485, mean_dist=4.86976624, lr=0.000100, hard or full='full'
iter 27800:, hard_loss_metric=0.00585803, full_loss_metric=0.07867419, full_loss_num=42.97138596, mean_dist=4.90034771, lr=0.000100, hard or full='full'
iter 28000:, hard_loss_metric=0.00988717, full_loss_metric=0.09876761, full_loss_num=59.98736191, mean_dist=4.85168028, lr=0.000100, hard or full='full'
iter 28200:, hard_loss_metric=0.01005912, full_loss_metric=0.09782624, full_loss_num=58.30876923, mean_dist=4.87706327, lr=0.000100, hard or full='full'
iter 28400:, hard_loss_metric=0.00888083, full_loss_metric=0.09401104, full_loss_num=51.12337875, mean_dist=4.91204786, lr=0.000100, hard or full='full'
iter 28600:, hard_loss_metric=0.00514911, full_loss_metric=0.07411847, full_loss_num=25.89058685, mean_dist=4.93564463, lr=0.000100, hard or full='full'
iter 28800:, hard_loss_metric=0.00689634, full_loss_metric=0.09654611, full_loss_num=34.13267517, mean_dist=4.86569929, lr=0.000100, hard or full='full'
iter 29000:, hard_loss_metric=0.00743763, full_loss_metric=0.09106299, full_loss_num=45.97679520, mean_dist=4.93609381, lr=0.000100, hard or full='full'
iter 29200:, hard_loss_metric=0.00753296, full_loss_metric=0.08793249, full_loss_num=42.19494247, mean_dist=4.90371656, lr=0.000100, hard or full='full'
iter 29400:, hard_loss_metric=0.00918116, full_loss_metric=0.09736817, full_loss_num=54.71980286, mean_dist=4.86131430, lr=0.000100, hard or full='full'
iter 29600:, hard_loss_metric=0.00657476, full_loss_metric=0.08478529, full_loss_num=37.15921783, mean_dist=4.91252470, lr=0.000100, hard or full='full'
iter 29800:, hard_loss_metric=0.00470121, full_loss_metric=0.07438156, full_loss_num=24.52222633, mean_dist=4.91361856, lr=0.000100, hard or full='full'
0:25:41.262825
iter 30000:, hard_loss_metric=0.00604794, full_loss_metric=0.08670960, full_loss_num=28.86166000, mean_dist=4.90305042, lr=0.000100, hard or full='full'
iter 30200:, hard_loss_metric=0.00596565, full_loss_metric=0.07200679, full_loss_num=31.43703079, mean_dist=4.95130873, lr=0.000100, hard or full='full'
iter 30400:, hard_loss_metric=0.00673133, full_loss_metric=0.09015873, full_loss_num=34.32351685, mean_dist=4.92761517, lr=0.000100, hard or full='full'
iter 30600:, hard_loss_metric=0.00589927, full_loss_metric=0.08232512, full_loss_num=30.86343765, mean_dist=4.90225029, lr=0.000100, hard or full='full'
iter 30800:, hard_loss_metric=0.00667793, full_loss_metric=0.09380972, full_loss_num=38.65797043, mean_dist=4.91848755, lr=0.000100, hard or full='full'
iter 31000:, hard_loss_metric=0.00655604, full_loss_metric=0.09633726, full_loss_num=33.29877090, mean_dist=4.97921801, lr=0.000100, hard or full='full'
iter 31200:, hard_loss_metric=0.00470827, full_loss_metric=0.07848798, full_loss_num=25.66388702, mean_dist=4.97440624, lr=0.000100, hard or full='full'
iter 31400:, hard_loss_metric=0.00475539, full_loss_metric=0.08271737, full_loss_num=21.54681587, mean_dist=4.97628164, lr=0.000100, hard or full='full'
iter 31600:, hard_loss_metric=0.00397701, full_loss_metric=0.06924281, full_loss_num=19.47796822, mean_dist=4.98252201, lr=0.000100, hard or full='full'
iter 31800:, hard_loss_metric=0.00403883, full_loss_metric=0.06652205, full_loss_num=19.42052650, mean_dist=4.97962189, lr=0.000100, hard or full='full'
iter 32000:, hard_loss_metric=0.00523666, full_loss_metric=0.07958033, full_loss_num=26.09691429, mean_dist=5.02739668, lr=0.000100, hard or full='full'
iter 32200:, hard_loss_metric=0.00367418, full_loss_metric=0.07114138, full_loss_num=17.02748108, mean_dist=4.97563744, lr=0.000100, hard or full='full'
iter 32400:, hard_loss_metric=0.00417475, full_loss_metric=0.08386745, full_loss_num=21.17287064, mean_dist=5.01833344, lr=0.000100, hard or full='full'
iter 32600:, hard_loss_metric=0.00558507, full_loss_metric=0.08552401, full_loss_num=30.41660118, mean_dist=4.98971939, lr=0.000100, hard or full='full'
